"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout_rate","epochs","hidden_dim","lr","method","metric.goal","metric.name","parameters.batch_sizes","parameters.dropout_rates","parameters.epochs","parameters.hidden_dims","parameters.lrs","parameters.weight_decays","weight_decay","Bt_mae","Bt_r2","Bt_rmse","Bx_mae","Bx_r2","Bx_rmse","By_mae","By_r2","By_rmse","Bz_mae","Bz_r2","Bz_rmse","Density_mae","Density_r2","Density_rmse","Speed_mae","Speed_r2","Speed_rmse","Temperature_mae","Temperature_r2","Temperature_rmse","epoch","train_loss","train_mae","train_r2","train_rmse","val_loss","val_mae","val_r2","val_rmse"
"lucky-sweep-15","finished","-","","","2024-07-31T06:44:02.000Z","235","4p2ul9fv","64","0.2","200","128","0.001","","","","","","","","","","0","1.6120407581329346","0.3197128176689148","2.2840845584869385","2.0676026344299316","0.24462270736694336","2.61022686958313","2.416663408279419","0.18290233612060547","3.213562250137329","1.9795241355895996","0.14474117755889893","2.747133731842041","2.5173981189727783","0.27464717626571655","3.802977561950683","54.153785705566406","0.3976871967315674","69.85502624511719","45777.7421875","0.301397442817688","71322.0859375","200","0.7334603329359646","6548.92236328125","0.2665289044380188","26957.19921875","1.0743054178628055","7914.61328125","-0.12258771806955338","29641.18359375"
"lucky-sweep-59","finished","-","","","2024-07-31T10:04:43.000Z","375","4p2ul9fv","32","0.2","200","128","0.01","","","","","","","","","","0","1.7617281675338743","0.1887372136116028","2.4942891597747803","2.2406036853790283","0.13700175285339355","2.7899811267852783","2.5936810970306396","0.08317297697067261","3.4040305614471436","2.057502031326294","0.06116586923599243","2.878229856491089","2.700396776199341","0.17569071054458618","4.054097652435303","59.82828140258789","0.2721562385559082","76.79017639160156","48986.66796875","0.19869917631149292","76384.765625","200","0.8404660187661648","7008.27783203125","0.1595166027545929","28870.70703125","1.0425175509669564","7483.81494140625","-0.08589942008256912","28974.43359375"
"mild-sweep-121","finished","-","","","2024-07-31T14:50:17.000Z","249","4p2ul9fv","64","0.4","200","256","0.1","","","","","","","","","","0.001","1.959911823272705","-0.008818864822387695","2.781458616256714","2.4495503902435303","-0.009523749351501465","3.017550468444824","2.7648487091064453","-0.00753629207611084","3.5684540271759033","2.1000826358795166","-0.008138060569763184","2.982572555541992","2.9687864780426025","-0.01038992404937744","4.4884209632873535","70.6136474609375","-0.010010480880737305","90.45853424072266","54724.08203125","-0.01004493236541748","85758.9140625","200","1.009225592436925","7829.55859375","-0.00920825358480215","32413.751953125","1.0006063589544008","7902.76318359375","-0.04163308814167976","28530.169921875"
"mild-sweep-144","running","-","","","2024-07-31T16:31:27.000Z","0","4p2ul9fv","64","0.4","200","256","0.001","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mild-sweep-53","finished","-","","","2024-07-31T09:38:08.000Z","164","4p2ul9fv","128","0.3","200","128","0.001","","","","","","","","","","0","1.671985149383545","0.2577979564666748","2.3857619762420654","2.1245853900909424","0.210446298122406","2.6686224937438965","2.4847686290740967","0.14779794216156006","3.281867504119873","2.010642766952514","0.10986268520355225","2.8025898933410645","2.5988197326660156","0.2181773781776428","3.94823694229126","56.22067642211914","0.35317081212997437","72.39047241210938","46734.5625","0.2672470211982727","73044.5390625","200","0.7764879935224291","6685.94287109375","0.22349974513053897","27608.1640625","1.023452161550522","7468.27294921875","-0.06979949027299881","28442.66015625"
"mild-sweep-56","finished","-","","","2024-07-31T09:51:18.000Z","389","4p2ul9fv","32","0.3","200","128","0.00001","","","","","","","","","","0.01","1.9221830368041992","0.030254006385803223","2.727062225341797","2.3973331451416016","0.029478073120117188","2.958686590194702","2.713920831680298","0.018576323986053467","3.5219080448150635","2.072906494140625","0.0129433274269104","2.951223373413086","2.883843421936035","0.03441113233566284","4.387783527374268","68.00924682617188","0.06778740882873535","86.90486145019531","53346.4609375","0.033698081970214844","83881.34375","200","0.9675296268517702","7632.3427734375","0.032450027763843536","31704.11328125","1.0023694733778636","7474.5478515625","-0.04333388805389404","27981.015625"
"morning-sweep-125","finished","-","","","2024-07-31T15:04:25.000Z","406","4p2ul9fv","32","0.2","200","256","0.001","","","","","","","","","","0.01","1.9459495544433592","0.003998458385467529","2.763732671737671","2.424259662628174","0.00910109281539917","2.9895853996276855","2.738119602203369","0.007373988628387451","3.5419511795043945","2.0834057331085205","0.003244936466217041","2.965686559677124","2.9136533737182617","0.018032371997833252","4.424841403961182","68.37265014648438","0.05338388681411743","87.57366943359375","53613.51953125","0.02387779951095581","84306.5","200","0.9830376651715224","7670.54638671875","0.01700233481824398","31864.84765625","1.000160605618448","7540.4638671875","-0.04123520851135254","28036.837890625"
"morning-sweep-21","finished","-","","","2024-07-31T07:09:10.000Z","393","4p2ul9fv","32","0.4","200","128","0.1","","","","","","","","","","0.01","1.9712728261947632","-0.016962409019470215","2.7926626205444336","2.4552359580993652","-0.017022013664245605","3.028736352920532","2.776435375213623","-0.016023874282836914","3.5834527015686035","2.1089282035827637","-0.01782357692718506","2.996865749359131","2.9873263835906982","-0.01725935935974121","4.503653049468994","70.94792175292969","-0.01696014404296875","90.76921081542967","55024.05078125","-0.01529538631439209","85981.53125","200","1.0167423435290095","7872.49755859375","-0.016766054555773735","32497.96484375","1.0373143662105908","7007.07568359375","-0.07720015943050385","27456.548828125"
"morning-sweep-88","finished","-","","","2024-07-31T12:30:37.000Z","241","4p2ul9fv","64","0.4","200","64","0.01","","","","","","","","","","0.00001","1.921046257019043","0.04366946220397949","2.7081334590911865","2.3862781524658203","0.03857642412185669","2.9447855949401855","2.712002754211426","0.016873955726623535","3.524961233139038","2.082674980163574","0.015717267990112305","2.947073221206665","2.8562607765197754","0.05045056343078613","4.3511881828308105","65.82429504394531","0.12265950441360474","84.3083724975586","52635.11328125","0.05549347400665283","82929.953125","200","0.9509250250920444","7530.41748046875","0.04906284809112549","31344.560546875","1.0090724618145914","7469.02685546875","-0.04978442192077637","27992.66015625"
"noble-sweep-81","finished","-","","","2024-07-31T12:02:48.000Z","404","4p2ul9fv","32","0.5","200","256","0.1","","","","","","","","","","0.00001","1.9700464010238647","-0.027496814727783203","2.807089567184448","2.4568185806274414","-0.02646088600158691","3.0427584648132324","2.7779669761657715","-0.025856852531433105","3.6007511615753174","2.113417625427246","-0.03621530532836914","3.023820638656616","2.974546194076538","-0.01322495937347412","4.49471378326416","70.86337280273438","-0.021670103073120117","90.97916412353516","54934.47265625","-0.018567562103271484","86119.9765625","200","1.0242498928392436","7859.6591796875","-0.024212155491113663","32550.263671875","0.9972136083877448","7869.67578125","-0.0343499518930912","28289.669921875"
